call_id,customer_name,call_timestamp,day_of_week,hour_of_day,wait_time_minutes,issue_category,resolution_status
5a88f51b-0418-4006-9794-5e7db0409b5f,Tammy Rodriguez MD,2026-01-24 14:44:44.850302,Saturday,14,35,Account,False
39e4cdde-f0e0-4d82-93d3-77bf72477a92,Theresa Bailey,2026-02-25 21:34:08.122111,Wednesday,21,5,Account,True
9c5aba2c-e2c2-4a6d-97d0-6ec527a7a45b,Dr. Lawrence Cantu,2026-01-15 13:40:32.412488,Thursday,13,15,Technical,False
ed9e42c1-d925-4bd3-8190-3500792e55fc,Frederick Carpenter,2026-03-19 22:11:50.841361,Thursday,22,11,Service,False
8c685462-f62f-4941-a703-f4dcbed56d45,Jon Wilson,2026-04-12 03:56:32.764504,Sunday,3,8,Account,True
d58a571c-d7cd-460d-b607-149f5fae8ae0,Kathy Rogers,2026-02-20 04:38:24.042933,Friday,4,28,Service,False
a73b0196-36eb-4104-8ab7-9c5a7fe41044,Nicholas Smith,2026-01-05 08:46:18.275701,Monday,8,28,Service,True
3bc9991d-e479-40cc-8e8f-88904b1c79b8,Donna Hall,2026-02-27 23:16:01.050950,Friday,23,22,Service,True
9d0d600c-b9c3-4eb4-9723-5e045e05fcba,George Olson,2026-01-22 23:42:50.716455,Thursday,23,5,Billing,True
50509ba1-3e92-4636-922f-fa24a629a2a7,Brenda Wood,2026-01-20 18:29:08.912468,Tuesday,18,4,Account,False
a052ef28-fb00-4f8e-a8e3-bfab0d548480,Patrick Mcclain,2026-04-11 12:32:40.232595,Saturday,12,17,Technical,True
07c23809-4993-4952-a4c6-fb0a9890f57e,Dr. Antonio Wright,2026-05-05 10:14:10.644428,Tuesday,10,38,Account,True
2424f793-517f-4381-862a-4c55559ece1f,Jacqueline Madden,2026-02-26 05:13:46.603567,Thursday,5,8,Service,True
4fb84caa-dbc4-482f-a91f-5e1a472bfe3c,Michael Williams,2026-01-04 17:37:33.508439,Sunday,17,7,Billing,False
9478e65a-8dec-454a-af0b-79b62411a190,Justin Armstrong,2026-01-25 16:39:58.730453,Sunday,16,39,Technical,True
bb2314a8-938a-4465-aeb1-10fe4654cd1e,Katie Brown,2026-03-19 17:31:46.735921,Thursday,17,2,Billing,False
abf67a93-bd28-423b-a75f-b36f2d85cc49,Jimmy Carter,2026-04-04 00:01:35.724898,Saturday,0,9,Technical,True
22d7e382-6fac-4bf0-aef2-9b3a8a30966e,Luis Davis,2026-04-10 20:29:14.681355,Friday,20,16,Billing,False
fdf7b49b-e4d1-45ed-80fe-e41ef5eb0d4f,Sean Brown,2026-01-19 22:16:38.231578,Monday,22,30,Technical,True
b821ce1e-cae2-4b6c-8b60-d903f94c987f,Logan Smith,2026-03-14 13:08:50.498512,Saturday,13,12,Billing,False
c744f7a2-c6cd-4068-97ba-715571530913,Kristy Jones,2026-01-27 05:00:30.832533,Tuesday,5,12,Account,False
220193bc-ab52-4fdc-94d8-4457ff4fa9f4,Matthew Hughes,2026-03-05 01:25:36.762973,Thursday,1,10,Service,False
96b516c7-1470-459f-81cb-0db8f7f7938f,Cynthia Sutton,2026-05-04 06:13:05.633697,Monday,6,17,Service,False
998abc12-b353-4541-9edf-bfd94c38a2bb,Linda Reynolds,2026-04-04 04:06:19.222000,Saturday,4,7,Billing,True
8e5bc092-d145-454d-9840-d8cd45e965ea,Robin Key,2026-01-22 05:18:23.927584,Thursday,5,3,Service,False
12b060ea-37b9-47b1-b6f6-bf5b242b33bc,Tammy Hamilton,2026-04-06 05:58:44.590204,Monday,5,22,Technical,True
77f63ac4-557f-481d-99f3-e39d5bf66b93,Jessica Taylor,2026-03-23 07:25:42.785627,Monday,7,17,Technical,True
34c60d9a-eac6-4518-9a7c-ed42ad13f7c0,Katherine Vazquez,2026-01-06 15:09:41.658453,Tuesday,15,29,Service,True
3d27f60a-8903-430a-b34c-90b5aa2c69e2,Vicki Bonilla,2026-04-03 23:11:55.018156,Friday,23,12,Account,False
75ad9a58-9611-4cfb-b089-e64d1bb1f4ff,Vernon Mccarthy,2026-04-29 17:06:12.829257,Wednesday,17,6,Technical,False
551fb93d-000d-4e6d-b52c-099501ad75c9,Charles Peterson,2026-03-09 19:44:07.207857,Monday,19,22,Account,False
4104cc37-34c9-4ef3-a4a4-b6dc1d706a42,Theresa Wilkinson,2026-04-11 16:06:51.410815,Saturday,16,28,Service,False
818b2837-593e-4ed6-af19-4a00f34933f0,Lori Kim,2026-03-06 14:44:45.562891,Friday,14,20,Technical,True
99e93fee-d374-460a-8e29-4a4a26370a96,Kevin Young,2026-04-11 16:10:12.836756,Saturday,16,11,Account,False
dfbccda1-b0b9-4d5b-a28e-ae42f9567804,Carrie Murillo,2026-03-18 16:35:09.467199,Wednesday,16,30,Account,True
90102c76-4695-4841-943c-42a054622a4b,Melissa Ortiz,2026-02-08 18:39:37.576532,Sunday,18,8,Technical,False
8fb67b03-5c8e-4788-96b2-61c739462520,Brian Flores,2026-03-11 22:41:05.532189,Wednesday,22,9,Service,False
